

Le Corbusier, art preference: expressionism
Leonardo Da Vinci, art preference: expressionism
Michelangelo Buonarroti, art preference: expressionism
Melanie Griffith, art preference: expressionism
Giotto, art preference: impressionism
Edvard Munch, art preference: impressionism
Donatello, art preference: expressionism
Jackson Pollock, art preference: expressionism
Jackson Pollock, art preference: expressionism
Frida Kahlo, art preference: expressionism
Giotto, art preference: impressionism
Andy Warhol, art preference: impressionism
Piet Mondriaan, art preference: expressionism
Samuel Jackson, art preference: expressionism
Marcello Mastroianni, art preference: impressionism
pablo, art preference: impressionism
Davide, art preference: expressionism
David Copperfield, art preference: expressionism
Gabri , art preference: impressionism
